_type,url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,mentionedUsers,coordinates,place,hashtags,cashtags,user._type,user.username,user.id,user.displayname,user.description,user.rawDescription,user.descriptionUrls,user.verified,user.created,user.followersCount,user.friendsCount,user.statusesCount,user.favouritesCount,user.listedCount,user.mediaCount,user.location,user.protected,user.linkUrl,user.linkTcourl,user.profileImageUrl,user.profileBannerUrl,user.url,inReplyToUser._type,inReplyToUser.username,inReplyToUser.id,inReplyToUser.displayname,inReplyToUser.description,inReplyToUser.rawDescription,inReplyToUser.descriptionUrls,inReplyToUser.verified,inReplyToUser.created,inReplyToUser.followersCount,inReplyToUser.friendsCount,inReplyToUser.statusesCount,inReplyToUser.favouritesCount,inReplyToUser.listedCount,inReplyToUser.mediaCount,inReplyToUser.location,inReplyToUser.protected,inReplyToUser.linkUrl,inReplyToUser.linkTcourl,inReplyToUser.profileImageUrl,inReplyToUser.profileBannerUrl,inReplyToUser.url,inReplyToUser,coordinates._type,coordinates.longitude,coordinates.latitude,place._type,place.fullName,place.name,place.type,place.country,place.countryCode,quotedTweet._type,quotedTweet.url,quotedTweet.date,quotedTweet.content,quotedTweet.renderedContent,quotedTweet.id,quotedTweet.user._type,quotedTweet.user.username,quotedTweet.user.id,quotedTweet.user.displayname,quotedTweet.user.description,quotedTweet.user.rawDescription,quotedTweet.user.descriptionUrls,quotedTweet.user.verified,quotedTweet.user.created,quotedTweet.user.followersCount,quotedTweet.user.friendsCount,quotedTweet.user.statusesCount,quotedTweet.user.favouritesCount,quotedTweet.user.listedCount,quotedTweet.user.mediaCount,quotedTweet.user.location,quotedTweet.user.protected,quotedTweet.user.linkUrl,quotedTweet.user.linkTcourl,quotedTweet.user.profileImageUrl,quotedTweet.user.profileBannerUrl,quotedTweet.user.url,quotedTweet.replyCount,quotedTweet.retweetCount,quotedTweet.likeCount,quotedTweet.quoteCount,quotedTweet.conversationId,quotedTweet.lang,quotedTweet.source,quotedTweet.sourceUrl,quotedTweet.sourceLabel,quotedTweet.outlinks,quotedTweet.tcooutlinks,quotedTweet.media,quotedTweet.retweetedTweet,quotedTweet.quotedTweet,quotedTweet.inReplyToTweetId,quotedTweet.inReplyToUser,quotedTweet.mentionedUsers,quotedTweet.coordinates,quotedTweet.place,quotedTweet.hashtags,quotedTweet.cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/Salmak08453430/status/1430473695911350273,2021-08-25T10:14:40+00:00,"@maheshperi @amitmalviya Shame on BJP #Fascists 
#BJPKilledDemocracy #BJPHataoDeshBachao 
Release all innocent  honest journalists who exposed  wrong doings of Governor. 😡😡 #GundaRaj #GoonsInPower #JungleRaj 
RIP Freedom of Speech and Expression 😡👎 
RIP Justice 😡👎
RIP DEMOCRACY 🇮🇳💔😡😢🇮🇳","@maheshperi @amitmalviya Shame on BJP #Fascists 
#BJPKilledDemocracy #BJPHataoDeshBachao 
Release all innocent  honest journalists who exposed  wrong doings of Governor. 😡😡 #GundaRaj #GoonsInPower #JungleRaj 
RIP Freedom of Speech and Expression 😡👎 
RIP Justice 😡👎
RIP DEMOCRACY 🇮🇳💔😡😢🇮🇳",1430473695911350273,0,0,0,0,1429771131259539466,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4297711312595395e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'maheshperi', 'id': 57604486, 'displayname': 'Maheshwer Peri', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/maheshperi'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'amitmalviya', 'id': 95588504, 'displayname': 'Amit Malviya', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/amitmalviya'}]",,,"['Fascists', 'BJPKilledDemocracy', 'BJPHataoDeshBachao', 'GundaRaj', 'GoonsInPower', 'JungleRaj']",,snscrape.modules.twitter.User,Salmak08453430,1347679056192544771,Salmak,Character,Character,,False,2021-01-08T22:59:01+00:00,59,1511,4799,3475,0,647,,False,,,https://pbs.twimg.com/profile_images/1393323079271698435/-VUpPg_H_normal.jpg,https://pbs.twimg.com/profile_banners/1347679056192544771/1623746819,https://twitter.com/Salmak08453430,snscrape.modules.twitter.User,maheshperi,57604486.0,Maheshwer Peri,,,,,,,,,,,,,,,,,,https://twitter.com/maheshperi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Salmak08453430/status/1430473467976105993,2021-08-25T10:13:46+00:00,"@maheshperi @amitmalviya #DissentIsDemocracy
#BJPKilledDemocracy 
#ReleaseAllPoliticalPrisoners
Immediately Unconditionally 
#StopWitchHuntOfAntiCAAActivists
RIP #Justice  😡👎🏼
RIP Humanity 😡👎🏼
RIP Freedom of Speech and Expressions 😡👎🏼
RIP Democracy 🇮🇳💔😡🇮🇳
#GundaRaj #GoonsInPower #JungleRaj","@maheshperi @amitmalviya #DissentIsDemocracy
#BJPKilledDemocracy 
#ReleaseAllPoliticalPrisoners
Immediately Unconditionally 
#StopWitchHuntOfAntiCAAActivists
RIP #Justice  😡👎🏼
RIP Humanity 😡👎🏼
RIP Freedom of Speech and Expressions 😡👎🏼
RIP Democracy 🇮🇳💔😡🇮🇳
#GundaRaj #GoonsInPower #JungleRaj",1430473467976105993,0,0,0,0,1429771131259539466,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4297711312595395e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'maheshperi', 'id': 57604486, 'displayname': 'Maheshwer Peri', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/maheshperi'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'amitmalviya', 'id': 95588504, 'displayname': 'Amit Malviya', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/amitmalviya'}]",,,"['DissentIsDemocracy', 'BJPKilledDemocracy', 'ReleaseAllPoliticalPrisoners', 'StopWitchHuntOfAntiCAAActivists', 'Justice', 'GundaRaj', 'GoonsInPower', 'JungleRaj']",,snscrape.modules.twitter.User,Salmak08453430,1347679056192544771,Salmak,Character,Character,,False,2021-01-08T22:59:01+00:00,59,1511,4799,3475,0,647,,False,,,https://pbs.twimg.com/profile_images/1393323079271698435/-VUpPg_H_normal.jpg,https://pbs.twimg.com/profile_banners/1347679056192544771/1623746819,https://twitter.com/Salmak08453430,snscrape.modules.twitter.User,maheshperi,57604486.0,Maheshwer Peri,,,,,,,,,,,,,,,,,,https://twitter.com/maheshperi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Salmak08453430/status/1430473333817102336,2021-08-25T10:13:14+00:00,"@LiveLawIndia #DissentIsDemocracy
#BJPKilledDemocracy 
#ReleaseAllPoliticalPrisoners
Immediately Unconditionally 
#StopWitchHuntOfAntiCAAActivists
RIP #Justice  😡👎🏼
RIP Humanity 😡👎🏼
RIP Freedom of Speech and Expressions 😡👎🏼
RIP Democracy 🇮🇳💔😡🇮🇳
#GundaRaj #GoonsInPower #JungleRaj","@LiveLawIndia #DissentIsDemocracy
#BJPKilledDemocracy 
#ReleaseAllPoliticalPrisoners
Immediately Unconditionally 
#StopWitchHuntOfAntiCAAActivists
RIP #Justice  😡👎🏼
RIP Humanity 😡👎🏼
RIP Freedom of Speech and Expressions 😡👎🏼
RIP Democracy 🇮🇳💔😡🇮🇳
#GundaRaj #GoonsInPower #JungleRaj",1430473333817102336,0,0,0,0,1429658729599799303,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4297142330553467e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'LiveLawIndia', 'id': 1255161552, 'displayname': 'Live Law', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/LiveLawIndia'}]",,,"['DissentIsDemocracy', 'BJPKilledDemocracy', 'ReleaseAllPoliticalPrisoners', 'StopWitchHuntOfAntiCAAActivists', 'Justice', 'GundaRaj', 'GoonsInPower', 'JungleRaj']",,snscrape.modules.twitter.User,Salmak08453430,1347679056192544771,Salmak,Character,Character,,False,2021-01-08T22:59:01+00:00,59,1511,4799,3475,0,647,,False,,,https://pbs.twimg.com/profile_images/1393323079271698435/-VUpPg_H_normal.jpg,https://pbs.twimg.com/profile_banners/1347679056192544771/1623746819,https://twitter.com/Salmak08453430,snscrape.modules.twitter.User,LiveLawIndia,1255161552.0,Live Law,,,,,,,,,,,,,,,,,,https://twitter.com/LiveLawIndia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Salmak08453430/status/1430453157121908736,2021-08-25T08:53:03+00:00,"@sakshijoshii @myogiadityanath @RakeshTikaitBKU Shame on BJP #FASCISTS 😡👎
#WithdrawFarmerBills2020 
#BJPKilledDemocracy #BJPGoonsAttackingFarmers 
#BJPConspiracyExposed 
#BJPArrestingJournalistsExposingBJP
RIP Freedom of Speech and Expression 😡👎 RIP Justice 😡👎 RIP Democracy 🇮🇳💔😢🇮🇳
#GundaRaj #GoonsInPower #JungleRaj","@sakshijoshii @myogiadityanath @RakeshTikaitBKU Shame on BJP #FASCISTS 😡👎
#WithdrawFarmerBills2020 
#BJPKilledDemocracy #BJPGoonsAttackingFarmers 
#BJPConspiracyExposed 
#BJPArrestingJournalistsExposingBJP
RIP Freedom of Speech and Expression 😡👎 RIP Justice 😡👎 RIP Democracy 🇮🇳💔😢🇮🇳
#GundaRaj #GoonsInPower #JungleRaj",1430453157121908736,0,0,0,0,1421357158667407364,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4213571586674074e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'sakshijoshii', 'id': 105733665, 'displayname': 'Sakshi Joshi', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/sakshijoshii'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'myogiadityanath', 'id': 3437532637, 'displayname': 'Yogi Adityanath', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/myogiadityanath'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'RakeshTikaitBKU', 'id': 831948775165923330, 'displayname': 'Rakesh Tikait', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/RakeshTikaitBKU'}]",,,"['FASCISTS', 'WithdrawFarmerBills2020', 'BJPKilledDemocracy', 'BJPGoonsAttackingFarmers', 'BJPConspiracyExposed', 'BJPArrestingJournalistsExposingBJP', 'GundaRaj', 'GoonsInPower', 'JungleRaj']",,snscrape.modules.twitter.User,Salmak08453430,1347679056192544771,Salmak,Character,Character,,False,2021-01-08T22:59:01+00:00,59,1511,4799,3475,0,647,,False,,,https://pbs.twimg.com/profile_images/1393323079271698435/-VUpPg_H_normal.jpg,https://pbs.twimg.com/profile_banners/1347679056192544771/1623746819,https://twitter.com/Salmak08453430,snscrape.modules.twitter.User,sakshijoshii,105733665.0,Sakshi Joshi,,,,,,,,,,,,,,,,,,https://twitter.com/sakshijoshii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Salmak08453430/status/1430452733581172740,2021-08-25T08:51:22+00:00,"@LiveLawIndia #DissentIsDemocracy
#BJPKilledDemocracy 
#ReleaseAllPoliticalPrisoners
Immediately Unconditionally 
#StopWitchHuntOfAntiCAAActivists
RIP #Justice  😡👎🏼
RIP Humanity 😡👎🏼
RIP Freedom of Speech and Expressions 😡👎🏼
RIP Democracy 🇮🇳💔😡🇮🇳
#GundaRaj #GoonsInPower #JungleRaj","@LiveLawIndia #DissentIsDemocracy
#BJPKilledDemocracy 
#ReleaseAllPoliticalPrisoners
Immediately Unconditionally 
#StopWitchHuntOfAntiCAAActivists
RIP #Justice  😡👎🏼
RIP Humanity 😡👎🏼
RIP Freedom of Speech and Expressions 😡👎🏼
RIP Democracy 🇮🇳💔😡🇮🇳
#GundaRaj #GoonsInPower #JungleRaj",1430452733581172740,0,0,0,0,1430437898977828864,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4304378989778289e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'LiveLawIndia', 'id': 1255161552, 'displayname': 'Live Law', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/LiveLawIndia'}]",,,"['DissentIsDemocracy', 'BJPKilledDemocracy', 'ReleaseAllPoliticalPrisoners', 'StopWitchHuntOfAntiCAAActivists', 'Justice', 'GundaRaj', 'GoonsInPower', 'JungleRaj']",,snscrape.modules.twitter.User,Salmak08453430,1347679056192544771,Salmak,Character,Character,,False,2021-01-08T22:59:01+00:00,59,1511,4799,3475,0,647,,False,,,https://pbs.twimg.com/profile_images/1393323079271698435/-VUpPg_H_normal.jpg,https://pbs.twimg.com/profile_banners/1347679056192544771/1623746819,https://twitter.com/Salmak08453430,snscrape.modules.twitter.User,LiveLawIndia,1255161552.0,Live Law,,,,,,,,,,,,,,,,,,https://twitter.com/LiveLawIndia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/parshotams060/status/1430192800495136776,2021-08-24T15:38:29+00:00,"I would have slapped him.
Now "" I"" arrested.
RIP #democracy #UddhavThackeray 
#FreedomOfSpeech #libtard #Socalledliberals","I would have slapped him.
Now "" I"" arrested.
RIP #democracy #UddhavThackeray 
#FreedomOfSpeech #libtard #Socalledliberals",1430192800495136776,0,0,0,0,1430192800495136776,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,"['democracy', 'UddhavThackeray', 'FreedomOfSpeech', 'libtard', 'Socalledliberals']",,snscrape.modules.twitter.User,parshotams060,760407567843651584,PARSHOTAM SINGH,👮 by Profession |Nemophilist|Philanthropist|FitnessFreak|Tweets are personal|RTs are not endorsed,👮 by Profession |Nemophilist|Philanthropist|FitnessFreak|Tweets are personal|RTs are not endorsed,,False,2016-08-02T09:31:06+00:00,131,561,1023,4482,0,258,"Jammu, Jammu And Kashmir",False,,,https://pbs.twimg.com/profile_images/1294339988151078913/ihGljlBO_normal.jpg,https://pbs.twimg.com/profile_banners/760407567843651584/1596771126,https://twitter.com/parshotams060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sahid_hussen5/status/1430045737451081734,2021-08-24T05:54:07+00:00,"@asadowaisi RIP.. HUMANITY INDIA
RIP.. DEMOCRACY","@asadowaisi RIP.. HUMANITY INDIA
RIP.. DEMOCRACY",1430045737451081734,0,0,0,0,1429977705626275842,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4299777056262758e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'asadowaisi', 'id': 336611577, 'displayname': 'Asaduddin Owaisi', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/asadowaisi'}]",,,,,snscrape.modules.twitter.User,sahid_hussen5,853434734025859072,Sahid Hussen,Peace lover.Religion humanity.World is my family.Love all.,Peace lover.Religion https://t.co/TflyamnIDk is my https://t.co/o4YAWwWFOB all.,"[{'text': 'humanity.World', 'url': 'http://humanity.World', 'tcourl': 'https://t.co/TflyamnIDk', 'indices': [21, 44]}, {'text': 'family.Love', 'url': 'http://family.Love', 'tcourl': 'https://t.co/o4YAWwWFOB', 'indices': [51, 74]}]",False,2017-04-16T02:27:51+00:00,2659,4893,26826,7493,1,2154,India,False,,,https://pbs.twimg.com/profile_images/960813203075743744/ctY9JDJW_normal.jpg,https://pbs.twimg.com/profile_banners/853434734025859072/1589407753,https://twitter.com/sahid_hussen5,snscrape.modules.twitter.User,asadowaisi,336611577.0,Asaduddin Owaisi,,,,,,,,,,,,,,,,,,https://twitter.com/asadowaisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/Tinmars_/status/1429898926627434502,2021-08-23T20:10:45+00:00,"@Simon_KhayaMoyo This tweet confirms that they will not hand over power, they will do all it takes to win the elections.

This is pathetic and sad RIP Democracy","@Simon_KhayaMoyo This tweet confirms that they will not hand over power, they will do all it takes to win the elections.

This is pathetic and sad RIP Democracy",1429898926627434502,0,0,0,0,1429739938996801545,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,1.4297399389968015e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Simon_KhayaMoyo', 'id': 1263919447703781378, 'displayname': 'Simon Khaya-Moyo', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Simon_KhayaMoyo'}]",,,,,snscrape.modules.twitter.User,Tinmars_,1328940294889476096,Tintin,"Peace ,BiBottom🌈","Peace ,BiBottom🌈",,False,2020-11-18T05:57:53+00:00,437,437,1385,943,0,12,Home,False,,,https://pbs.twimg.com/profile_images/1436378567261184000/dSrYxNgV_normal.jpg,,https://twitter.com/Tinmars_,snscrape.modules.twitter.User,Simon_KhayaMoyo,1.2639194477037814e+18,Simon Khaya-Moyo,,,,,,,,,,,,,,,,,,https://twitter.com/Simon_KhayaMoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MajidAnsari183/status/1429856554707206145,2021-08-23T17:22:22+00:00,@Nher_who RIP DEMOCRACY,@Nher_who RIP DEMOCRACY,1429856554707206145,0,0,0,0,1429848350744924162,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4298483507449242e+18,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'Nher_who', 'id': 788998565381021696, 'displayname': 'Nehr_who?', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Nher_who'}]",,,,,snscrape.modules.twitter.User,MajidAnsari183,434374945,Majid Ansari,He who is not courageous enough to take risks will accomplish nothing in life.,He who is not courageous enough to take risks will accomplish nothing in life.,,False,2011-12-11T19:44:10+00:00,22,84,199,494,0,6,,False,,,https://pbs.twimg.com/profile_images/1257736950854963205/m4WsxFiR_normal.jpg,https://pbs.twimg.com/profile_banners/434374945/1588702912,https://twitter.com/MajidAnsari183,snscrape.modules.twitter.User,Nher_who,7.889985653810217e+17,Nehr_who?,,,,,,,,,,,,,,,,,,https://twitter.com/Nher_who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/kartick_7691/status/1429847938738524161,2021-08-23T16:48:08+00:00,so u speak to save democracy nd u ended up with UAPA nd they claimed it as saab Changga si.. 😄😄 rip democracy 🙏🙏 #UmarKhalid,so u speak to save democracy nd u ended up with UAPA nd they claimed it as saab Changga si.. 😄😄 rip democracy 🙏🙏 #UmarKhalid,1429847938738524161,0,0,1,0,1429847938738524161,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,['UmarKhalid'],,snscrape.modules.twitter.User,kartick_7691,447720402,Kartick Panchu Sarkar,I follow Ram for Ram Rajyya not to fulfill anyone's political Agenda.. 👍👍 (Ram Ji k naam pe Bhaichara lao naki kisi ko jaan se maar do)..,I follow Ram for Ram Rajyya not to fulfill anyone's political Agenda.. 👍👍 (Ram Ji k naam pe Bhaichara lao naki kisi ko jaan se maar do)..,,False,2011-12-27T06:00:15+00:00,22,72,250,69,1,61,Guwahati,False,,,https://pbs.twimg.com/profile_images/1426610769936871425/Vx1ERX88_normal.jpg,,https://twitter.com/kartick_7691,,,,,,,,,,,,,,,,,,,,,,,,snscrape.modules.twitter.Coordinates,90.939097,25.722728,snscrape.modules.twitter.Place,"Guwahati, India",Guwahati,city,India,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
