date,content,lang,sourceLabel,hashtags,user.verified,user.created,user.location,,,,,,,,,,,,,,,,,,,,,
24/08/2021,We hv to look they can synergy with PH or are they are a burden to PH Pejuang and Warisan does not hv the reform spirit belief see how mths go down the drain bcos of this n gv bad image to PH YBs hannahyeoh mariachin Raj Minna lets menang bergaya PRU nnt LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
24/08/2021,LawanTetapLawan KerajaanGagal,und,Twitter for iPhone,"['LawanTetapLawan', 'KerajaanGagal2']",FALSE,24/07/2011,"Sepang, Selangor",,,,,,,,,,,,,,,,,,,,,
24/08/2021,dapmalaysia Fight the good fight LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,20/05/2009,,,,,,,,,,,,,,,,,,,,,,
24/08/2021,Berani buat berani Tangung kalau tak ada duit jangan sibuk duduk Luar LawanTetapLawan dudukrumah Jer LAWAN KerajaanGagal BagindasBubar SyedSaddiq chedetofficial anwaribrahim takiyuddin Khairykj AnnuarMusa IsmailSabri,in,Twitter for iPhone,"['LawanTetapLawan', 'dudukrumah', 'LAWAN', 'KerajaanGagal', 'BagindasBubar']",FALSE,22/07/2021,Malaysia,,,,,,,,,,,,,,,,,,,,,
24/08/2021,Cashisnotking azisjms inikalilah LawanTetapLawan,und,Twitter for iPhone,"['inikalilah', 'LawanTetapLawan']",FALSE,01/02/2020,Utagha Malaysia🇲🇾,,,,,,,,,,,,,,,,,,,,,
23/08/2021,MatRodi MY NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
23/08/2021,RozyRazit BadBoy NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
23/08/2021,akukeadilan adzman NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
23/08/2021,Minta dengan orang tu la Dia kan dapat k hari tu Ikat jamin k ada baki k lagi kot LawanTetapLawan,in,Twitter for Android,['LawanTetapLawan'],FALSE,16/03/2019,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,Kan dah kata NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,in,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
23/08/2021,Fighting systemic racism and corruption which has been ingrained in Malaysians politics for over yrs isn t an overnight fight It will take decades to slay this monster and many GEs LawanTetapLawan reformasi,en,Twitter for Android,"['LawanTetapLawan', 'reformasi']",FALSE,19/05/2010,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,LIVE Payung besar Pakatan Harapan Siapa akan jadi abang via YouTube LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,14/02/2019,Wilayah Persekutuan Kuala Lump,,,,,,,,,,,,,,,,,,,,,
23/08/2021,anwaribrahim Jalan terus dato seri LawanTetapLawan Reformasi,in,Twitter for Android,"['LawanTetapLawan', 'Reformasi']",FALSE,01/11/2014,Kuala Pilah,,,,,,,,,,,,,,,,,,,,,
23/08/2021,zlhlmizikri nurarisyahh ShopeeMY LawanTetapLawan,und,Twitter for iPhone,['LawanTetapLawan'],FALSE,22/08/2011,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,Ni baru betul LawanTetapLawan,in,Twitter for Android,['LawanTetapLawan'],FALSE,07/09/2015,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,ATTENTION Sekretariat Solidariti Rakyat is doing a crowdfunding for the compounds that was issued by PDRM over the vigil last week Contributions can be made through CIMB Bank Target RM LawanTetapLawan Lawan LawanIntimidasi,en,Twitter for iPhone,"['LawanTetapLawan', 'Lawan', 'LawanIntimidasi']",TRUE,02/01/2013,Selangor ,,,,,,,,,,,,,,,,,,,,,
23/08/2021,Good Easier for us rakyat biasa to lay the blame failures at the right door dan UMNO now cannot deflect their responsibility to others LawanTetapLawan,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,gheffroy LawanIntimidasi LawanTetapLawan,und,Twitter for iPhone,"['LawanIntimidasi', 'LawanTetapLawan']",FALSE,16/07/2020,Kuala Lumpur City,,,,,,,,,,,,,,,,,,,,,
23/08/2021,Setuju lawantetaplawan,in,Twitter for iPhone,['lawantetaplawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,SOCIAL DISTANCING MANA IsmailSabri polis ni dah terang lagi takde social distancing apa lagi hantar lah lori angkut Dekat daratan bukan main lagi LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,15/09/2017,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,KERAJAAN lawantetaplawan prukitalawan,und,Twitter for Android,"['KERAJAAN69', 'lawantetaplawan', 'pru15kitalawan']",FALSE,09/05/2017,Malaysia,,,,,,,,,,,,,,,,,,,,,
23/08/2021,TSDMujeebudeen umnoonline PASPusat PPBMofficial KEADILAN dapmalaysia DAPSYMalaysia PartiAmanah guanenglim anthonyloke n izzah UPKOMalaysia LawanTetapLawan,und,Twitter for Android,['LawanTetapLawan'],FALSE,31/07/2021,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,hafizultaib IsmailSabri KerajaanGagalLagi LawanTetapLawan NotMyPM mengarut orang tua ni jadi PM takde sape nak tau la pakcik mail woii,in,Twitter for iPhone,"['KerajaanGagalLagi', 'LawanTetapLawan', 'NotMyPM']",FALSE,15/03/2014,,,,,,,,,,,,,,,,,,,,,,
23/08/2021,amirAlHafizz MEMANG DAP RASIS PON KAU JE TAK SEDAR MASIH JILAT MEI TU DIA LA YANG MEMECAHBELAHKAN BANGSA KeluargaMalaysia PM LawanTetapLawan malaysia IsmailSabri,in,Twitter for Android,"['KeluargaMalaysia', 'PM9', 'LawanTetapLawan', '1malaysia', 'IsmailSabri']",FALSE,26/08/2020,"New Jersey, USA",,,,,,,,,,,,,,,,,,,,,
22/08/2021,justinbieber pon following dia boleh buat negeri chilla manusia datang dan pergi lawantetaplawan tiber,in,Twitter for iPhone,['lawantetaplawan'],FALSE,17/06/2021,al burqueq,,,,,,,,,,,,,,,,,,,,,
22/08/2021,BadBoy Hahahahha ok ok Bright betul ni Lps ni kena stock popcorn banyak Apapun LawanTetapLawan,in,Twitter for Android,['LawanTetapLawan'],FALSE,14/07/2014,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Alhamdullillah dah ada representative dlm govt LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,Something to ponder mgkn kita yg tak layak LawanTetapLawan reformasi,in,Twitter for iPhone,"['LawanTetapLawan', 'reformasi']",FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,rafiziramli SivanesG We want our Rafizi back to the ring LawanTetapLawan Never ever give up,en,Twitter for iPhone,['LawanTetapLawan'],FALSE,21/11/2012,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,You re okay with Malaysia Goverment KeluargaMalaysia kerajaan NotMyPM IsmailSabri UMNO LAWAN lawantetaplawan LTL,en,Twitter for iPhone,"['KeluargaMalaysia', 'kerajaan69', 'NotMyPM', 'IsmailSabri', 'UMNO', 'LAWAN', 'lawantetaplawan', 'LTL']",FALSE,19/01/2013,Kuala Lumpur City,,,,,,,,,,,,,,,,,,,,,
22/08/2021,LIVE MENARIK Rafizi ramal kerajaan ini bulan via YouTube LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,14/02/2019,Wilayah Persekutuan Kuala Lump,,,,,,,,,,,,,,,,,,,,,
22/08/2021,anwaribrahim Pejuang Rakyat Jelata Pejuang Reformasi untuk Kepentingan Rakyat In shaa Allah Kita akan Bersama beliau untuk Memacu Negara Malaysia ini Menjadi Negara Maju Reformasix LawanTetapLawan akmalnasir Thiban ben firdausjohariFJ rafiz,in,Twitter for Android,"['Reformasi3x', 'LawanTetapLawan']",FALSE,28/12/2010,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,matshatry LawanTetapLawan SOP apa PDRM guna,in,Twitter for Android,['LawanTetapLawan'],FALSE,29/01/2021,,,,,,,,,,,,,,,,,,,,,,
22/08/2021,adzman zack rockstar Waalaikumusalam LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,25/03/2012,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,jan banjari BadBoy Biasalah salah sendiri simpan diam tapi tuding semua kt org lain As usual NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,in,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,NgaKorMing NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,hannahyeoh NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,LagaCawan NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,HarianBecok NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,themokumentary LagaCawan NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,modsya LagaCawan NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,zack rockstar NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,AzimAmirulBill khairizulfadhli IsmailSabri NotMyPM KerajaanGagal KerajaanGagal KerajaanGagalLagi LawanTetapLawan,und,Twitter for Android,"['NotMyPM', 'KerajaanGagal', 'KerajaanGagal2', 'KerajaanGagalLagi', 'LawanTetapLawan']",FALSE,02/05/2019,Malaysia,,,,,,,,,,,,,,,,,,,,,
22/08/2021,depa nie pening agaknya bknnya pilihanraya Gaduh laki bini UMNOvsBERSATU knp pulak PH yg gagal kuatkan gerak kerja PartiAmanah tu dulu PRU dah dkt nie abg MSabu Official oooiii piat sikit tinge budak bkt bintang nie Depa merapu apa nie LawanTetapLawan,in,Twitter for iPhone,['LawanTetapLawan'],FALSE,31/12/2013,,,,,,,,,,,,,,,,,,,,,,
