"word","in documents","total"
"foku",4,4
"follow",4,4
"fool",4,4
"form",4,4
"gagal",4,4
"gambar",4,4
"guna",4,4
"hand",3,4
"happi",4,4
"harini",4,4
"human",3,4
"idiot",4,4
"incompet",4,4
"interest",4,4
"isteri",4,4
"jalan",4,4
"jangan",4,4
"joke",4,4
"justintrudeau",4,4
"kami",3,4
"kawan",2,4
"kedah",4,4
"keep",4,4
"kerajaankleptokrat",4,4
"kerajaantumbang",4,4
"kesian",4,4
"kezincanberra",4,4
"kisah",4,4
"komen",4,4
"koyak",4,4
"lantik",4,4
"lihat",4,4
"like",4,4
"malai",2,4
"malu",4,4
"mata",4,4
"mayb",4,4
"memerintah",4,4
"menang",3,4
"menggunakan",4,4
"menghina",4,4
"mereka",4,4
"mknjpm",4,4
"morrisonmustgo",4,4
"mouth",4,4
"muka",4,4
"nasihat",3,4
"notaleaderjustaliber",4,4
"number",4,4
"pakai",4,4
"pandem",4,4
"parliament",4,4
"patut",3,4
"pencapaian",4,4
"perompak",1,4
"perutusan",4,4
"pilih",4,4
"plai",4,4
"pokok",2,4
"problem",4,4
"proud",4,4
"puse",2,4
"race",4,4
"raidensk",4,4
"reason",4,4
"religion",2,4
"remov",4,4
"rest",4,4
"right",3,4
"sampah",3,4
"serious",3,4
"setakat",4,4
"setan",2,4
"sinaronlin",4,4
"sivik",4,4
"sokong",4,4
"stand",4,4
"state",4,4
"statement",4,4
"stuff",4,4
"telah",4,4
"trudeauworstpmev",4,4
"try",4,4
"turn",4,4
"twitter",4,4
"video",4,4
"wahai",4,4
"wakil",4,4
"zaman",4,4
"absolut",3,3
"accept",3,3
"action",2,3
"adik",3,3
"adzman",3,3
"ahli",3,3
"akhirnya",3,3
"angkat",2,3
"announc",3,3
"appoint",3,3
"ata",3,3
"azminali",3,3
"badboi",3,3
"bagai",3,3
"banner",3,3
"bantu",3,3
"banyak",3,3
"bapak",3,3
"baradar",1,3
"base",3,3
"belakang",3,3
"benci",3,3
"bera",3,3
"berpolitik",3,3
"beza",3,3
"bobbi",3,3
"brader",2,3
"bruh",3,3
"bullshit",3,3
"came",3,3
"canada",3,3
"certainli",3,3
"check",3,3
"cikgu",1,3
"congratul",3,3
"continu",3,3
"corrupt",3,3
"datang",3,3
"decis",3,3
"defin",3,3
"demokrasi",3,3
"didnt",3,3
"disgust",3,3
"dose",2,3
"driver",3,3
"dsai",3,3
